iter	Logloss
0	0.6901373047
1	0.6875195312
2	0.6852383789
3	0.68313125
4	0.6808751953
5	0.6789849609
6	0.6773259277
7	0.6756939453
8	0.6741816406
9	0.6727697266
10	0.6715604004
11	0.6704436035
12	0.6693045898
13	0.6684474609
14	0.6675907227
15	0.6666381348
16	0.6656590332
17	0.6648955078
18	0.6641857422
19	0.6634387695
20	0.66281875
21	0.6621561035
22	0.6616198242
23	0.6611042969
24	0.6604819336
25	0.6600317383
26	0.659440918
27	0.6588696289
28	0.6583144531
29	0.6579266113
30	0.6575399902
31	0.656979248
32	0.6565152344
33	0.656082373
34	0.6555262207
35	0.6550333008
36	0.6545844238
37	0.6542887695
38	0.6538984375
39	0.6533965332
40	0.6530072266
41	0.6525495605
42	0.6521887695
43	0.6517875
44	0.6514064453
45	0.6511152344
46	0.6508480469
47	0.6504079102
48	0.649934668
49	0.6495083984
50	0.6490631836
51	0.6486846191
52	0.648330957
53	0.6478342773
54	0.6473735352
55	0.6469617187
56	0.6467211426
57	0.6464299805
58	0.6459947754
59	0.6455418945
60	0.6451951172
61	0.6448270996
62	0.644470459
63	0.6441453613
64	0.643798291
65	0.6434972168
66	0.6431634766
67	0.6428738281
68	0.6426100586
69	0.6423516602
70	0.6419919434
71	0.6416195313
72	0.6414217773
73	0.6411218262
74	0.6406124023
75	0.6402217285
76	0.6398387207
77	0.6395456055
78	0.6392232422
79	0.6389279297
80	0.6386136719
81	0.6383433594
82	0.6379492187
83	0.6375420898
84	0.6372352051
85	0.6368556641
86	0.6365235352
87	0.636140332
88	0.6356820801
89	0.635302002
90	0.6349010254
91	0.6346428223
92	0.634465332
93	0.6341251953
94	0.6335938477
95	0.6333630859
96	0.6330986328
97	0.6327913086
98	0.6326089355
99	0.6322238281
100	0.6319418945
101	0.6314625
102	0.6311754883
103	0.6307489258
104	0.630422998
105	0.630140332
106	0.6297485352
107	0.629648877
108	0.6293741699
109	0.6289545898
110	0.6285345703
111	0.6282839844
112	0.6278637695
113	0.627475293
114	0.6270726562
115	0.6266808594
116	0.6264288086
117	0.6261112793
118	0.6257480957
119	0.6254792969
120	0.6252408691
121	0.6249593262
122	0.6245895996
123	0.6242201172
124	0.623953418
125	0.6236601563
126	0.6234086914
127	0.6229875977
128	0.622789209
129	0.6225898438
130	0.6222091309
131	0.621852832
132	0.6215544434
133	0.6213291992
134	0.6209205078
135	0.6206312012
136	0.6203550781
137	0.6200579102
138	0.6197646973
139	0.619471582
140	0.6191225098
141	0.6187914062
142	0.6184916992
143	0.6180756836
144	0.6176789062
145	0.617354541
146	0.6170441895
147	0.6166152344
148	0.6162524902
149	0.615976123
150	0.6156967285
151	0.615294043
152	0.6150480957
153	0.6147292969
154	0.6144597656
155	0.6141691406
156	0.6138277344
157	0.6134023926
158	0.6131647949
159	0.6129032227
160	0.6125562988
161	0.6120709961
162	0.6117972656
163	0.6115939453
164	0.611396875
165	0.6110864258
166	0.6108898926
167	0.6105429688
168	0.6102521484
169	0.609878418
170	0.6094880859
171	0.6092209961
172	0.6089054199
173	0.6087062012
174	0.6083117188
175	0.6080101562
176	0.6076296875
177	0.6073039551
178	0.6068922363
179	0.6066101563
180	0.6061969727
181	0.6060132812
182	0.605556543
183	0.6052051758
184	0.6050430664
185	0.6046505859
186	0.6043172852
187	0.6039541992
188	0.6037689453
189	0.6033253906
190	0.6029480957
191	0.6026801758
192	0.6023633789
193	0.602015918
194	0.6016709961
195	0.6012305664
196	0.6008549805
197	0.6005204102
198	0.6001535645
199	0.599665625
200	0.5992033691
201	0.5988012207
202	0.5983715332
203	0.5980147949
204	0.5976664063
205	0.5973634766
206	0.5969743652
207	0.5965286621
208	0.596300293
209	0.5959742188
210	0.5954492188
211	0.5950064453
212	0.5946387695
213	0.5940365723
214	0.5936211914
215	0.5933770508
216	0.5930390625
217	0.592582959
218	0.5921306641
219	0.5917398437
220	0.5913405273
221	0.5908532715
222	0.5904530762
223	0.5900308105
224	0.5893499023
225	0.5888626953
226	0.5884140625
227	0.5879497559
228	0.5874761719
229	0.5871517578
230	0.5867775391
231	0.58650625
232	0.586222168
233	0.5858729004
234	0.5853018555
235	0.5849027344
236	0.5846599609
237	0.5842444336
238	0.5836114258
239	0.5830770996
240	0.5825598633
241	0.5821844727
242	0.5818108398
243	0.5813589844
244	0.5809716309
245	0.5805923828
246	0.5801518555
247	0.5796613281
248	0.5792934082
249	0.5789600586
250	0.5785601074
251	0.5780672363
252	0.5776479492
253	0.5773462891
254	0.5770053223
255	0.5766282227
256	0.5761789063
257	0.5757673828
258	0.5753220703
259	0.5750756836
260	0.5747580078
261	0.5744018555
262	0.5739311035
263	0.5734479492
264	0.5730125
265	0.5726908203
266	0.5721236328
267	0.5715878906
268	0.5712381836
269	0.570675
270	0.5702186523
271	0.5698635742
272	0.5693669922
273	0.569053125
274	0.568576709
275	0.568026709
276	0.567691748
277	0.5672939941
278	0.5668973633
279	0.5666073242
280	0.5660532227
281	0.5655800293
282	0.5650891602
283	0.5647054688
284	0.564126123
285	0.5637446777
286	0.5632671875
287	0.5629800781
288	0.5625807617
289	0.5621506348
290	0.5617980469
291	0.5614454102
292	0.561134375
293	0.5607150391
294	0.5603526367
295	0.5597864746
296	0.5592979492
297	0.5588727539
298	0.5584701172
299	0.5579830566
